"Gene.Names"	"apo1_Rep1"	"apo1_Rep2"	"apo1_Rep3"	"apo2_Rep1"	"apo2_Rep2"	"apo2_Rep3"	"apo3_Rep1"	"apo3_Rep2"	"apo3_Rep3"	"Entry"	"Entry.Name"	"Protein.names"	"Length"	"Pathway"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"
"EGW08_000022"	717	362	355	851	450	401	872	435	437	"A0A3S1A1R7"	"A0A3S1A1R7_ELYCH"	"RING-type E3 ubiquitin transferase"	475	""	""	"GO:0005856; GO:0046872"
"EGW08_000023"	210	118	92	290	167	123	266	145	121	"A0A3S1BUX9"	"A0A3S1BUX9_ELYCH"	"Dehydrogenase/reductase SDR family member 4"	255	""	""	"GO:0016020; GO:0016491"
"EGW08_000024"	50	19	31	58	27	31	42	18	24	"A0A3S1BVG9"	"A0A3S1BVG9_ELYCH"	"Amino acid permease/ SLC12A domain-containing protein"	511	""	""	"GO:0016020; GO:0022857"
"EGW08_000025"	72	42	30	87	55	32	102	51	51	"A0A3S1I4S0"	"A0A3S1I4S0_ELYCH"	"FAD-binding domain-containing protein"	460	""	""	"GO:0016020"
"EGW08_000026"	0	0	0	4	2	2	1	1	0	"A0A3S1AHA1"	"A0A3S1AHA1_ELYCH"	"LRRNT domain-containing protein"	282	""	""	""
"EGW08_000027"	101	42	59	112	60	52	121	58	63	"A0A433UEH5"	"A0A433UEH5_ELYCH"	"Cytoplasmic tRNA 2-thiolation protein 2"	445	"PATHWAY: tRNA modification; 5-methoxycarbonylmethyl-2-thiouridine-tRNA biosynthesis. {ECO:0000256|HAMAP-Rule:MF_03054}."	"protein urmylation [GO:0032447]; tRNA thio-modification [GO:0034227]; tRNA wobble uridine modification [GO:0002098]"	"GO:0000049; GO:0002098; GO:0005737; GO:0016779; GO:0032447; GO:0034227"
"EGW08_000028"	0	0	0	0	0	0	0	0	0	"A0A433UED0"	"A0A433UED0_ELYCH"	"Uncharacterized protein"	836	""	""	""
"EGW08_000029"	0	0	0	0	0	0	0	0	0	"A0A3S5K2K8"	"A0A3S5K2K8_ELYCH"	"Uncharacterized protein"	473	""	""	""
"EGW08_000030"	45	17	28	49	19	30	28	14	14	"A0A3S1CGR1"	"A0A3S1CGR1_ELYCH"	"Neurotransmitter-gated ion-channel ligand-binding domain-containing protein"	632	""	""	"GO:0004888; GO:0005230; GO:0016020"
"EGW08_000031"	125	66	59	141	74	67	127	67	60	"A0A433UEH0"	"A0A433UEH0_ELYCH"	"MORN repeat-containing protein 5"	604	""	""	""
"EGW08_000032"	27	10	17	29	9	20	27	9	18	"A0A433UEF9"	"A0A433UEF9_ELYCH"	"CCD97-like C-terminal domain-containing protein"	105	""	""	""
"EGW08_000033"	0	0	0	0	0	0	1	1	0	"A0A433UE20"	"A0A433UE20_ELYCH"	"Uncharacterized protein"	212	""	""	""
"EGW08_000034"	51	19	32	42	16	26	53	29	24	"A0A433UEA0"	"A0A433UEA0_ELYCH"	"DUF4604 domain-containing protein"	180	""	""	""
"EGW08_000035"	87	41	46	100	51	49	101	55	46	"A0A3S1BNC2"	"A0A3S1BNC2_ELYCH"	"C2H2-type domain-containing protein"	568	""	""	""
"EGW08_000036"	121	56	65	177	83	94	154	87	67	"A0A3S1A2G6"	"A0A3S1A2G6_ELYCH"	"Uncharacterized protein"	149	""	""	""
"EGW08_000037"	5	2	3	11	3	8	10	3	7	"A0A433UEI7"	"A0A433UEI7_ELYCH"	"RING finger and SPRY domain-containing protein 1"	622	""	""	"GO:0004842; GO:0046872"
"EGW08_000038"	35	16	19	52	25	27	28	10	18	"A0A433UEE1"	"A0A433UEE1_ELYCH"	"Uncharacterized protein"	656	""	""	""
"EGW08_000039"	322	153	169	380	200	180	378	203	175	"A0A433UEE3"	"A0A433UEE3_ELYCH"	"WW-binding domain-containing protein"	944	""	""	""
"EGW08_000040"	14	8	6	11	6	5	16	11	5	"A0A433UE99"	"A0A433UE99_ELYCH"	"Uncharacterized protein"	110	""	""	"GO:0016020"
"EGW08_000041"	17	6	11	6	4	2	11	7	4	"A0A433UEI1"	"A0A433UEI1_ELYCH"	"RRM domain-containing protein"	585	""	""	"GO:0000175; GO:0003723"
"EGW08_000042"	13	5	8	12	8	4	14	8	6	"A0A3S1BYR5"	"A0A3S1BYR5_ELYCH"	"Uncharacterized protein"	221	""	""	""
"EGW08_000043"	2	2	0	2	1	1	1	0	1	"A0A3S1A1S5"	"A0A3S1A1S5_ELYCH"	"Uncharacterized protein"	171	""	""	""
"EGW08_000044"	88	43	45	101	50	51	99	55	44	"A0A433UEB2"	"A0A433UEB2_ELYCH"	"N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase)"	335	""	"tRNA threonylcarbamoyladenosine modification [GO:0002949]"	"GO:0000408; GO:0002949; GO:0005634; GO:0005737; GO:0046872; GO:0061711"
"EGW08_000045"	28	17	11	20	11	9	34	15	19	"A0A3S1BUY2"	"A0A3S1BUY2_ELYCH"	"Polymerase nucleotidyl transferase domain-containing protein"	801	""	"RNA polyadenylation [GO:0043631]"	"GO:0031499; GO:0043631; GO:1990817"
"EGW08_000046"	56	31	25	103	50	53	64	30	34	"A0A3S1BVH7"	"A0A3S1BVH7_ELYCH"	"Major facilitator superfamily (MFS) profile domain-containing protein"	549	""	""	"GO:0016020"
"EGW08_000047"	1	0	1	1	0	1	1	1	0	"A0A3S1I4S9"	"A0A3S1I4S9_ELYCH"	"DUF6451 domain-containing protein"	332	""	""	""
"EGW08_000048"	4	2	2	16	8	8	9	6	3	"A0A3S1AHA6"	"A0A3S1AHA6_ELYCH"	"Fibrinogen C-terminal domain-containing protein"	523	""	""	""
"EGW08_000049"	0	0	0	0	0	0	1	0	1	"A0A3S5K2K9"	"A0A3S5K2K9_ELYCH"	"Uncharacterized protein"	332	""	""	""
"EGW08_000050"	377	182	195	384	191	193	389	179	210	"A0A3S1CGS1"	"A0A3S1CGS1_ELYCH"	"PPM-type phosphatase domain-containing protein"	624	""	"protein dephosphorylation [GO:0006470]"	"GO:0004722; GO:0006470; GO:0046872"
"EGW08_000051"	15	9	6	22	15	7	19	14	5	"A0A3S1BND3"	"A0A3S1BND3_ELYCH"	"Geminin"	264	""	"regulation of DNA replication [GO:0006275]"	"GO:0005634; GO:0006275"
"EGW08_000052"	5	10	17	6	16	14	6	13	10	"A0A3S1A2I0"	"A0A3S1A2I0_ELYCH"	"Mandelate racemase/muconate lactonizing enzyme C-terminal domain-containing protein"	380	""	"amino acid catabolic process [GO:0009063]"	"GO:0009063; GO:0016836"
"EGW08_000053"	3	16	9	0	10	14	0	5	12	"A0A3S1BYS2"	"A0A3S1BYS2_ELYCH"	"Uncharacterized protein"	349	""	""	""
"EGW08_000054"	333	180	153	371	209	162	360	210	150	"A0A3S1A1T1"	"A0A3S1A1T1_ELYCH"	"Uncharacterized protein"	101	""	""	""
"EGW08_000055"	34	24	10	42	21	21	41	21	20	"A0A433UEI4"	"A0A433UEI4_ELYCH"	"Hexosyltransferase (EC 2.4.1.-)"	382	""	"protein glycosylation [GO:0006486]"	"GO:0000139; GO:0006486; GO:0016758"
"EGW08_000056"	19	8	11	23	15	8	30	15	15	"A0A3S1BUZ0"	"A0A3S1BUZ0_ELYCH"	"UMA domain-containing protein"	169	""	""	""
"EGW08_000057"	8	6	2	14	6	8	7	3	4	"A0A433UEK0"	"A0A433UEK0_ELYCH"	"Uncharacterized protein"	130	""	""	""
"EGW08_000058"	3	1	2	6	1	5	7	6	1	"A0A433UEF8"	"A0A433UEF8_ELYCH"	"Fucolectin tachylectin-4 pentraxin-1 domain-containing protein"	690	""	""	""
"EGW08_000059"	47	24	23	53	32	21	56	25	31	"A0A3S1BVI4"	"A0A3S1BVI4_ELYCH"	"Protein-tyrosine-phosphatase"	1217	""	"protein dephosphorylation [GO:0006470]"	"GO:0004725; GO:0006470; GO:0016020"
"EGW08_000060"	26	15	11	28	18	10	36	24	12	"A0A433UEC0"	"A0A433UEC0_ELYCH"	"Carboxylesterase type B domain-containing protein"	585	""	""	""
"EGW08_000061"	29	16	13	38	20	18	48	25	23	"A0A3S1I4T8"	"A0A3S1I4T8_ELYCH"	"RNA uridylyltransferase (EC 2.7.7.52)"	1139	""	"gene expression [GO:0010467]; mRNA catabolic process [GO:0006402]; mRNA destabilization [GO:0061157]"	"GO:0003676; GO:0005737; GO:0006402; GO:0008270; GO:0010467; GO:0016779; GO:0061157"
"EGW08_000062"	5	3	2	7	3	4	5	1	4	"A0A433UEI5"	"A0A433UEI5_ELYCH"	"RNA uridylyltransferase (EC 2.7.7.52)"	377	""	"RNA metabolic process [GO:0016070]"	"GO:0016070; GO:0016779"
"EGW08_000063"	528	269	259	630	315	315	602	305	297	"A0A3S1AHB1"	"A0A3S1AHB1_ELYCH"	"Replication termination factor 2 (Replication termination factor 2 domain-containing protein 1)"	303	""	"mitotic DNA replication termination [GO:1902979]"	"GO:0005634; GO:1902979"
"EGW08_000064"	29	15	14	31	15	16	39	14	25	"A0A433UEC9"	"A0A433UEC9_ELYCH"	"Collagen IV NC1 domain-containing protein"	196	""	""	""
"EGW08_000065"	16	3	13	24	11	13	19	12	7	"A0A433UEJ3"	"A0A433UEJ3_ELYCH"	"Uncharacterized protein"	183	""	""	"GO:0016020"
"EGW08_000066"	0	0	0	0	0	0	0	0	0	"A0A3S5K2L0"	"A0A3S5K2L0_ELYCH"	"Uncharacterized protein"	152	""	""	""
"EGW08_000067"	28	10	18	35	21	14	28	10	18	"A0A433UEK7"	"A0A433UEK7_ELYCH"	"Fibrillar collagen NC1 domain-containing protein"	333	""	""	""
"EGW08_000068"	0	0	0	0	0	0	0	0	0	"A0A433UEG8"	"A0A433UEG8_ELYCH"	"Uncharacterized protein"	114	""	""	""
"EGW08_000069"	5	4	1	2	1	1	6	4	2	"A0A3S1CGS9"	"A0A3S1CGS9_ELYCH"	"Uncharacterized protein"	237	""	""	""
"EGW08_000070"	3	0	3	4	4	0	6	5	1	"A0A433UED3"	"A0A433UED3_ELYCH"	"Uncharacterized protein"	316	""	""	""
"EGW08_000071"	0	0	0	0	0	0	0	0	0	"A0A433UEK3"	"A0A433UEK3_ELYCH"	"Uncharacterized protein"	112	""	""	""
"EGW08_000072"	2	2	0	5	2	3	5	5	0	"A0A433UEJ9"	"A0A433UEJ9_ELYCH"	"Smr domain-containing protein"	291	""	""	""
"EGW08_000073"	77	39	38	84	42	42	77	36	41	"A0A3S1BNE4"	"A0A3S1BNE4_ELYCH"	"Cyclic nucleotide-binding domain-containing protein"	727	""	""	"GO:0005249; GO:0016020"
"EGW08_000074"	109	55	54	131	65	66	130	60	70	"A0A3S1A2J5"	"A0A3S1A2J5_ELYCH"	"Neogenin C-terminal domain-containing protein"	480	""	""	""
"EGW08_000075"	26	14	12	18	9	9	21	10	11	"A0A433UEK2"	"A0A433UEK2_ELYCH"	"Transcription elongation factor Eaf N-terminal domain-containing protein"	225	""	"regulation of DNA-templated transcription [GO:0006355]"	"GO:0006355; GO:0032783"
"EGW08_000076"	217	108	109	246	127	119	269	148	121	"A0A433UEN0"	"A0A433UEN0_ELYCH"	"RRM domain-containing protein"	518	""	""	"GO:0003723"
"EGW08_000077"	402	211	191	446	226	220	474	245	229	"A0A433UEL9"	"A0A433UEL9_ELYCH"	"RBR-type E3 ubiquitin transferase (EC 2.3.2.31)"	1087	""	"protein ubiquitination [GO:0016567]"	"GO:0004842; GO:0008270; GO:0016567"
"EGW08_000078"	36	22	14	38	18	20	42	18	24	"A0A3S1BYT0"	"A0A3S1BYT0_ELYCH"	"Major facilitator superfamily (MFS) profile domain-containing protein"	580	""	""	"GO:0016020; GO:0022857"
"EGW08_000079"	4	2	2	8	4	4	5	3	2	"A0A3S1A1T7"	"A0A3S1A1T7_ELYCH"	"Major facilitator superfamily (MFS) profile domain-containing protein"	107	""	""	"GO:0016020; GO:0022857"
"EGW08_000080"	34	26	8	40	23	17	53	28	25	"A0A433UED9"	"A0A433UED9_ELYCH"	"Amino acid permease/ SLC12A domain-containing protein"	232	""	""	"GO:0016020; GO:0022857"
"EGW08_000081"	271	141	130	275	141	134	265	133	132	"A0A433UEL1"	"A0A433UEL1_ELYCH"	"Amino acid permease/ SLC12A domain-containing protein"	252	""	""	"GO:0016020; GO:0022857"
"EGW08_000082"	25	11	14	33	19	14	32	20	12	"A0A3S1BUZ7"	"A0A3S1BUZ7_ELYCH"	"Uncharacterized protein"	250	""	""	""
"EGW08_000083"	45	26	19	71	37	34	73	38	35	"A0A433UE66"	"A0A433UE66_ELYCH"	"Uncharacterized protein"	511	""	""	""
"EGW08_000084"	0	0	0	1	1	0	0	0	0	"A0A3S1BVJ0"	"A0A3S1BVJ0_ELYCH"	"Radial spoke head component 1"	313	""	""	""
"EGW08_000085"	20	10	10	19	11	8	33	15	18	"A0A3S1I4U8"	"A0A3S1I4U8_ELYCH"	"PDZ domain-containing protein"	1293	""	""	""
"EGW08_000086"	7	4	3	5	3	2	16	12	4	"A0A433UEN6"	"A0A433UEN6_ELYCH"	"PDZ domain-containing protein"	155	""	""	""
"EGW08_000087"	76	43	33	101	53	48	84	47	37	"A0A433UEM4"	"A0A433UEM4_ELYCH"	"MHD domain-containing protein"	418	""	"intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]"	"GO:0006886; GO:0016192; GO:0030131"
"EGW08_000088"	34	18	16	42	27	15	35	17	18	"A0A3S1AHB6"	"A0A3S1AHB6_ELYCH"	"DNL-type domain-containing protein"	274	""	""	"GO:0008270"
"EGW08_000089"	18	11	7	19	10	9	15	8	7	"A0A433UEI3"	"A0A433UEI3_ELYCH"	"TauD/TfdA-like domain-containing protein"	273	""	""	""
"EGW08_000090"	1	1	0	2	0	2	3	2	1	"A0A433UEF5"	"A0A433UEF5_ELYCH"	"TauD/TfdA-like domain-containing protein"	127	""	""	""
"EGW08_000091"	0	0	0	0	0	0	3	2	1	"A0A3S1BUS8"	"A0A3S1BUS8_ELYCH"	"C-type lectin domain-containing protein"	334	""	""	""
"EGW08_000092"	43	21	22	63	33	30	49	19	30	"A0A433UE62"	"A0A433UE62_ELYCH"	"FH2 domain-containing protein"	1006	""	"actin cytoskeleton organization [GO:0030036]"	"GO:0003779; GO:0030036; GO:0031267"
"EGW08_000093"	1	0	1	3	2	1	0	0	0	"A0A433UE52"	"A0A433UE52_ELYCH"	"Arginase (EC 3.5.3.1)"	390	"PATHWAY: Nitrogen metabolism; urea cycle; L-ornithine and urea from L-arginine: step 1/1. {ECO:0000256|ARBA:ARBA00005098, ECO:0000256|RuleBase:RU361159}."	"arginine metabolic process [GO:0006525]; urea cycle [GO:0000050]"	"GO:0000050; GO:0004053; GO:0006525; GO:0046872"
"EGW08_000094"	17	10	7	20	12	8	16	7	9	"A0A3S1BVC6"	"A0A3S1BVC6_ELYCH"	"Centromere protein H C-terminal domain-containing protein"	216	""	"kinetochore assembly [GO:0051382]"	"GO:0000776; GO:0005634; GO:0051382"
"EGW08_000095"	274	131	143	338	179	159	273	139	134	"A0A3S1I4L6"	"A0A3S1I4L6_ELYCH"	"USP domain-containing protein"	3800	""	"protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]"	"GO:0004843; GO:0006511; GO:0016579"
"EGW08_000096"	272	120	152	308	145	163	298	132	166	"A0A3S1AH80"	"A0A3S1AH80_ELYCH"	"Activator of Hsp90 ATPase AHSA1-like N-terminal domain-containing protein"	345	""	""	"GO:0001671; GO:0051087"
"EGW08_000097"	113	54	59	107	57	50	124	53	71	"A0A433UEB8"	"A0A433UEB8_ELYCH"	"Multidrug resistance-associated protein 7"	1594	""	""	"GO:0005524; GO:0016020; GO:0016887; GO:0140359"
"EGW08_000098"	26	12	14	21	12	9	24	9	15	"A0A433UE78"	"A0A433UE78_ELYCH"	"Uncharacterized protein"	290	""	""	""
"EGW08_000099"	521	248	273	535	266	269	555	259	296	"A0A433UE27"	"A0A433UE27_ELYCH"	"Pericentrin/AKAP-450 centrosomal targeting domain-containing protein"	1339	""	""	""
"EGW08_000100"	787	396	391	974	475	499	926	453	473	"A0A3S5K2K3"	"A0A3S5K2K3_ELYCH"	"Pericentrin/AKAP-450 centrosomal targeting domain-containing protein"	1041	""	"signal transduction [GO:0007165]"	"GO:0005737; GO:0005815; GO:0007165; GO:0060090"
"EGW08_000101"	50	30	20	47	29	18	58	28	30	"A0A3S1CGM6"	"A0A3S1CGM6_ELYCH"	"RING-type domain-containing protein"	606	""	""	"GO:0005737; GO:0046872"
"EGW08_000102"	188	91	97	212	114	98	186	100	86	"A0A433UE74"	"A0A433UE74_ELYCH"	"G-protein coupled receptors family 1 profile domain-containing protein"	812	""	""	"GO:0004930; GO:0016020"
"EGW08_000103"	17	7	10	15	7	8	13	6	7	"A0A3S1BN72"	"A0A3S1BN72_ELYCH"	"Uncharacterized protein"	907	""	""	""
"EGW08_000104"	0	0	0	0	0	0	0	0	0	"A0A3S1A2D3"	"A0A3S1A2D3_ELYCH"	"Uncharacterized protein"	116	""	""	""
"EGW08_000105"	33	13	20	36	20	16	26	14	12	"A0A433UE12"	"A0A433UE12_ELYCH"	"DUF4203 domain-containing protein"	357	""	""	"GO:0016020"
"EGW08_000106"	193	107	86	214	130	84	201	101	100	"A0A3S1BYM1"	"A0A3S1BYM1_ELYCH"	"Ig-like domain-containing protein"	333	""	""	""
"EGW08_000107"	234	168	142	244	179	180	242	181	159	"A0A433UEC5"	"A0A433UEC5_ELYCH"	"PAT complex subunit CCDC47 (Coiled-coil domain-containing protein 47)"	474	""	"endoplasmic reticulum calcium ion homeostasis [GO:0032469]"	"GO:0005509; GO:0030867; GO:0032469"
"EGW08_000108"	0	41	35	0	60	55	0	49	49	"A0A3S1A1N8"	"A0A3S1A1N8_ELYCH"	"Uncharacterized protein"	120	""	""	"GO:0016020"
"EGW08_000109"	14	8	6	16	6	10	21	8	13	"A0A433UE37"	"A0A433UE37_ELYCH"	"F-box domain-containing protein"	503	""	""	""
"EGW08_000110"	3	2	1	4	2	2	0	0	0	"A0A3S1BUU6"	"A0A3S1BUU6_ELYCH"	"F-box domain-containing protein"	113	""	""	""
"EGW08_000111"	72	38	34	97	47	50	89	51	38	"A0A3S1BVE2"	"A0A3S1BVE2_ELYCH"	"Uncharacterized protein"	334	""	""	""
"EGW08_000112"	42	22	20	60	31	29	49	29	20	"A0A3S1I4M6"	"A0A3S1I4M6_ELYCH"	"DEAD-box helicase OB fold domain-containing protein"	538	""	""	""
"EGW08_000113"	9	5	4	7	4	3	6	4	2	"A0A433UE77"	"A0A433UE77_ELYCH"	"RGS domain-containing protein"	213	""	""	""
"EGW08_000114"	2	0	2	1	1	0	3	1	2	"A0A3S1AH85"	"A0A3S1AH85_ELYCH"	"Nucleoplasmin core domain-containing protein"	285	""	""	"GO:0005634"
"EGW08_000115"	52	22	30	50	23	27	53	25	28	"A0A3S5K2K4"	"A0A3S5K2K4_ELYCH"	"Fibroblast growth factor"	394	""	""	"GO:0008083; GO:0016020"
"EGW08_000116"	28	12	16	40	27	13	25	14	11	"A0A3S1CGN2"	"A0A3S1CGN2_ELYCH"	"Endonuclease/exonuclease/phosphatase domain-containing protein"	312	""	""	""
"EGW08_000117"	156	81	75	159	95	64	140	73	67	"A0A433UED1"	"A0A433UED1_ELYCH"	"Trafficking protein particle complex subunit 13"	420	""	""	""
"EGW08_000118"	141	75	66	138	69	69	163	79	84	"A0A433UEA1"	"A0A433UEA1_ELYCH"	"Uncharacterized protein"	1005	""	""	"GO:0015293; GO:0016020"
"EGW08_000119"	1069	551	518	1306	635	671	1249	636	613	"A0A3S1BN88"	"A0A3S1BN88_ELYCH"	"Eukaryotic translation initiation factor 3 subunit H (eIF3h)"	321	""	"formation of cytoplasmic translation initiation complex [GO:0001732]"	"GO:0001732; GO:0003743; GO:0005852; GO:0008237; GO:0016282; GO:0033290"
"EGW08_000120"	107	52	55	101	51	50	89	48	41	"A0A433UE42"	"A0A433UE42_ELYCH"	"SGTA homodimerisation domain-containing protein"	336	""	""	""
"EGW08_000121"	225	110	115	271	140	131	262	139	123	"A0A3S1A2E1"	"A0A3S1A2E1_ELYCH"	"Cyclin-G-associated kinase"	1360	""	"protein phosphorylation [GO:0006468]"	"GO:0004672; GO:0005524; GO:0006468"
"EGW08_000122"	103	50	53	86	40	46	108	57	51	"A0A3S1BYN2"	"A0A3S1BYN2_ELYCH"	"HAUS augmin-like complex subunit 3 N-terminal domain-containing protein"	610	""	"cell division [GO:0051301]; spindle assembly [GO:0051225]"	"GO:0005737; GO:0005819; GO:0005874; GO:0051225; GO:0051301; GO:0070652"
"EGW08_000123"	13	9	4	8	6	2	4	1	3	"A0A3S1A1P6"	"A0A3S1A1P6_ELYCH"	"Uncharacterized protein"	130	""	""	""
"EGW08_000124"	81	37	44	108	61	47	109	57	52	"A0A3S1BUV2"	"A0A3S1BUV2_ELYCH"	"tRNA-t(6)A37 methylthiotransferase (EC 2.8.4.5)"	495	""	""	"GO:0005789; GO:0035598; GO:0046872; GO:0051539; GO:0061712"
"EGW08_000125"	149	85	64	224	115	109	194	96	98	"A0A3S1BVE6"	"A0A3S1BVE6_ELYCH"	"BTB domain-containing protein"	1456	""	"protein homooligomerization [GO:0051260]; regulation of monoatomic ion transmembrane transport [GO:0034765]"	"GO:0005249; GO:0008076; GO:0034765; GO:0051260"
"EGW08_000126"	0	0	0	0	0	0	0	0	0	"A0A3S1I4N8"	"A0A3S1I4N8_ELYCH"	"Uncharacterized protein"	200	""	""	""
"EGW08_000127"	74	41	33	90	39	51	83	32	51	"A0A433UEE0"	"A0A433UEE0_ELYCH"	"Brix domain-containing protein"	300	""	"rRNA processing [GO:0006364]"	"GO:0006364; GO:0042134"
"EGW08_000128"	163	78	85	213	106	107	196	111	85	"A0A433UEB4"	"A0A433UEB4_ELYCH"	"Phosphatidylinositol 3-kinase regulatory subunit alpha"	995	""	"signal transduction [GO:0007165]"	"GO:0005737; GO:0007165"
"EGW08_000129"	69	35	34	70	26	44	67	26	41	"A0A3S1AH91"	"A0A3S1AH91_ELYCH"	"Uncharacterized protein"	101	""	""	""
"EGW08_000130"	54	29	25	76	44	32	39	23	16	"A0A433UE55"	"A0A433UE55_ELYCH"	"DUF389 domain-containing protein"	800	""	""	"GO:0016020"
"EGW08_000131"	26	12	14	28	11	17	30	12	18	"A0A433UDZ1"	"A0A433UDZ1_ELYCH"	"MHD domain-containing protein"	877	""	""	"GO:0005905"
"EGW08_000132"	92	48	44	98	42	56	114	55	59	"A0A433UEA3"	"A0A433UEA3_ELYCH"	"Uncharacterized protein"	896	""	"rRNA processing [GO:0006364]"	"GO:0006364; GO:0032040"
"EGW08_000133"	4	1	3	1	1	0	3	0	3	"A0A3S5K2K5"	"A0A3S5K2K5_ELYCH"	"Uncharacterized protein"	245	""	""	""
"EGW08_000134"	146	76	70	154	68	86	170	82	88	"A0A433UDS9"	"A0A433UDS9_ELYCH"	"DNA-repair protein Xrcc1 N-terminal domain-containing protein"	124	""	"intraciliary transport [GO:0042073]; single strand break repair [GO:0000012]"	"GO:0000012; GO:0003684; GO:0005634; GO:0005929; GO:0030992; GO:0042073"
"EGW08_000135"	247	121	126	231	122	109	230	125	105	"A0A3S1CGP0"	"A0A3S1CGP0_ELYCH"	"Uncharacterized protein"	302	""	""	"GO:0008474"
