Entry	Entry Name	Protein names	Gene Names	Length	Pathway	Gene Ontology (biological process)	Gene Ontology IDs
A0A3S0Z6I6	A0A3S0Z6I6_ELYCH	Lysine-specific histone demethylase (EC 1.14.99.66)	EGW08_020470	797		histone H3-K4 demethylation [GO:0034720]; regulation of DNA-templated transcription [GO:0006355]	GO:0005634; GO:0006355; GO:0034720; GO:0050660; GO:0140682
A0A3S0Z8C2	A0A3S0Z8C2_ELYCH	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)	EGW08_023087	1137	PATHWAY: Protein biosynthesis; polypeptide chain elongation. {ECO:0000256|HAMAP-Rule:MF_03061}.	mitochondrial translational elongation [GO:0070125]	GO:0003735; GO:0003746; GO:0003924; GO:0005525; GO:0005739; GO:0015934; GO:0019843; GO:0070125
A0A3S0Z8N1	A0A3S0Z8N1_ELYCH	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	EGW08_020355	167		mRNA 5'-splice site recognition [GO:0000395]; spliceosomal snRNP assembly [GO:0000387]	GO:0000243; GO:0000387; GO:0000395; GO:0003729; GO:0005685; GO:0008270; GO:0030619; GO:0071004
A0A3S0Z9M1	A0A3S0Z9M1_ELYCH	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase (EC 3.1.4.11)	EGW08_018364	1304		intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042]	GO:0004435; GO:0005509; GO:0016042; GO:0035556; GO:0110165
A0A3S0Z9S2	A0A3S0Z9S2_ELYCH	Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)	KATNB1 EGW08_022211	627		cell cycle [GO:0007049]; cell division [GO:0051301]; microtubule severing [GO:0051013]	GO:0000922; GO:0005737; GO:0005813; GO:0005874; GO:0007049; GO:0008017; GO:0008352; GO:0051013; GO:0051301
A0A3S0ZAW4	A0A3S0ZAW4_ELYCH	protein adenylyltransferase (EC 2.7.7.108)	EGW08_018722	606			GO:0005524; GO:0016020; GO:0016779
A0A3S0ZBP2	A0A3S0ZBP2_ELYCH	Acireductone dioxygenase (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	EGW08_018241	246	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; L-methionine from S-methyl-5-thio-alpha-D-ribose 1-phosphate: step 5/6. {ECO:0000256|HAMAP-Rule:MF_03154}.	L-methionine salvage from methylthioadenosine [GO:0019509]	GO:0005506; GO:0005634; GO:0005737; GO:0010308; GO:0010309; GO:0016151; GO:0019509
A0A3S0ZED9	A0A3S0ZED9_ELYCH	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)	EGW08_019147	177	PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis. {ECO:0000256|HAMAP-Rule:MF_03052}.	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	GO:0005829; GO:0006777; GO:0019008; GO:0030366
A0A3S0ZEL0	A0A3S0ZEL0_ELYCH	Pyruvate carboxylase (EC 6.4.1.1)	EGW08_015099	1196	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000256|ARBA:ARBA00004742}.	gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	GO:0004736; GO:0005524; GO:0005737; GO:0006090; GO:0006094; GO:0046872
A0A3S0ZIC3	A0A3S0ZIC3_ELYCH	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	EGW08_013777	395	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from adenosine: step 1/1. {ECO:0000256|ARBA:ARBA00004801, ECO:0000256|RuleBase:RU368116}.	AMP salvage [GO:0044209]; phosphorylation [GO:0016310]; purine ribonucleoside salvage [GO:0006166]	GO:0004001; GO:0005524; GO:0005634; GO:0006166; GO:0016310; GO:0044209
A0A3S0ZIX7	A0A3S0ZIX7_ELYCH	nitric-oxide synthase (NADPH) (EC 1.14.13.39)	EGW08_013414	1150		nitric oxide biosynthetic process [GO:0006809]	GO:0004517; GO:0005516; GO:0006809; GO:0010181; GO:0016020; GO:0020037; GO:0046872; GO:0050660; GO:0050661
A0A3S0ZNR2	A0A3S0ZNR2_ELYCH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	EGW08_010082	1825		cytoskeleton organization [GO:0007010]; protein phosphorylation [GO:0006468]	GO:0004674; GO:0005524; GO:0006468; GO:0007010; GO:0030027; GO:0046872
A0A3S0ZNT7	A0A3S0ZNT7_ELYCH	Uridine kinase (EC 2.7.1.48)	EGW08_012984	546	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via salvage pathway; CTP from cytidine: step 1/3. {ECO:0000256|RuleBase:RU003825}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via salvage pathway; UMP from uridine: step 1/1. {ECO:0000256|ARBA:ARBA00004690, ECO:0000256|RuleBase:RU003825}.	CTP salvage [GO:0044211]; phosphorylation [GO:0016310]; UMP salvage [GO:0044206]	GO:0004849; GO:0005524; GO:0016310; GO:0043771; GO:0044206; GO:0044211
A0A3S0ZPF1	A0A3S0ZPF1_ELYCH	Adenylate kinase isoenzyme 6 homolog (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	EGW08_012573	176		phosphorylation [GO:0016310]	GO:0004017; GO:0005524; GO:0005634; GO:0016310; GO:0016887
A0A3S0ZRL3	A0A3S0ZRL3_ELYCH	Metalloendopeptidase (EC 3.4.24.-)	EGW08_008017	518		proteolysis [GO:0006508]	GO:0004222; GO:0006508; GO:0008270
A0A3S0ZRP9	A0A3S0ZRP9_ELYCH	DNA replication licensing factor MCM5 (EC 3.6.4.12)	EGW08_007972	732		cell cycle [GO:0007049]; DNA duplex unwinding [GO:0032508]; DNA replication initiation [GO:0006270]	GO:0003688; GO:0004386; GO:0005524; GO:0005634; GO:0006270; GO:0007049; GO:0016887; GO:0032508; GO:0042555
A0A3S0ZSF0	A0A3S0ZSF0_ELYCH	Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.24) (ATP/GTP-binding protein-like 5) (Protein deglutamylase CCP5)	EGW08_018108	1375		protein deglutamylation [GO:0035608]; proteolysis [GO:0006508]	GO:0004181; GO:0005634; GO:0005819; GO:0006508; GO:0008270; GO:0030496; GO:0035608
A0A3S0ZU34	A0A3S0ZU34_ELYCH	Pre-mRNA-processing factor 19 (EC 2.3.2.27)	EGW08_006364	487	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906, ECO:0000256|RuleBase:RU367101}.	DNA repair [GO:0006281]; intein-mediated protein splicing [GO:0016539]; mRNA splicing, via spliceosome [GO:0000398]; protein K63-linked ubiquitination [GO:0070534]	GO:0000398; GO:0000974; GO:0005681; GO:0006281; GO:0016020; GO:0016539; GO:0061630; GO:0070534
A0A3S0ZUG4	A0A3S0ZUG4_ELYCH	Alpha-tubulin N-acetyltransferase (Alpha-TAT) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	EGW08_009159	599		alpha-tubulin acetylation [GO:0071929]; neuron development [GO:0048666]; regulation of microtubule cytoskeleton organization [GO:0070507]	GO:0005874; GO:0019799; GO:0048666; GO:0070507; GO:0071929
A0A3S0ZVS9	A0A3S0ZVS9_ELYCH	Cytosol aminopeptidase (EC 3.4.11.1) (EC 3.4.11.5) (EC 3.4.13.23) (Cysteinylglycine-S-conjugate dipeptidase) (Leucine aminopeptidase 3) (Leucyl aminopeptidase) (Proline aminopeptidase) (Prolyl aminopeptidase)	EGW08_008034	532		proteolysis [GO:0006508]	GO:0005737; GO:0006508; GO:0030145; GO:0070006
A0A3S0ZY10	A0A3S0ZY10_ELYCH	Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1)	EGW08_002783	314		cellular response to amino acid stimulus [GO:0071230]; cholesterol homeostasis [GO:0042632]; endosomal transport [GO:0016197]; lysosome organization [GO:0007040]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of TOR signaling [GO:0032008]; protein peptidyl-prolyl isomerization [GO:0000413]; regulation of receptor recycling [GO:0001919]	GO:0000413; GO:0001919; GO:0003755; GO:0005765; GO:0007040; GO:0016197; GO:0031902; GO:0032008; GO:0042632; GO:0043410; GO:0045121; GO:0071230; GO:0071986
A0A3S0ZYW9	A0A3S0ZYW9_ELYCH	Probable methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)	EGW08_002659	241	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; L-methionine from S-methyl-5-thio-alpha-D-ribose 1-phosphate: step 2/6. {ECO:0000256|HAMAP-Rule:MF_03116}.	L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]	GO:0005737; GO:0008270; GO:0019284; GO:0019509; GO:0046570
A0A3S0ZZL0	A0A3S0ZZL0_ELYCH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	EGW08_005270	443		establishment of cell polarity [GO:0030010]; glucose homeostasis [GO:0042593]; protein phosphorylation [GO:0006468]; regulation of cell growth [GO:0001558]	GO:0001558; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0030010; GO:0030295; GO:0042593; GO:0046872
A0A3S1A034	A0A3S1A034_ELYCH	Glutathione reductase (EC 1.8.1.7)	EGW08_001215	460		cell redox homeostasis [GO:0045454]; glutathione metabolic process [GO:0006749]	GO:0004362; GO:0005737; GO:0006749; GO:0045454; GO:0050660; GO:0050661
A0A3S1A0X3	A0A3S1A0X3_ELYCH	Endonuclease III homolog (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	NTH1 EGW08_012340	505		base-excision repair, AP site formation [GO:0006285]	GO:0000703; GO:0003677; GO:0005634; GO:0005739; GO:0006285; GO:0046872; GO:0051539; GO:0140078
A0A3S1A5Y1	A0A3S1A5Y1_ELYCH	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	EGW08_008639	400	PATHWAY: Protein modification; protein lipoylation via endogenous pathway; protein N(6)-(lipoyl)lysine from octanoyl-[acyl-carrier-protein]: step 2/2. {ECO:0000256|HAMAP-Rule:MF_03123}.	protein lipoylation [GO:0009249]	GO:0005739; GO:0009249; GO:0016992; GO:0046872; GO:0051539
A0A3S1A661	A0A3S1A661_ELYCH	DNA replication licensing factor MCM3 (EC 3.6.4.12)	EGW08_000598	788		DNA duplex unwinding [GO:0032508]; DNA replication initiation [GO:0006270]	GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0006270; GO:0016787; GO:0032508; GO:0042555
A0A3S1ADV7	A0A3S1ADV7_ELYCH	Calcium-transporting ATPase (EC 7.2.2.10)	EGW08_002880	977			GO:0005388; GO:0005524; GO:0016020; GO:0016887; GO:0140613
A0A3S1AH53	A0A3S1AH53_ELYCH	Glutathione S-transferase omega (GSTO) (EC 1.20.4.2) (EC 1.8.5.1) (EC 2.5.1.18) (Glutathione-dependent dehydroascorbate reductase) (Monomethylarsonic acid reductase)	EGW08_000207	246		glutathione metabolic process [GO:0006749]	GO:0004364; GO:0005737; GO:0006749; GO:0045174; GO:0050610
A0A3S1AQB6	A0A3S1AQB6_ELYCH	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)	EGW08_023279	597	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; fumarate from succinate (eukaryal route): step 1/1. {ECO:0000256|RuleBase:RU362051}.	electron transport chain [GO:0022900]; tricarboxylic acid cycle [GO:0006099]	GO:0005743; GO:0006099; GO:0008177; GO:0022900; GO:0050660; GO:0102040
A0A3S1ASG8	A0A3S1ASG8_ELYCH	Fibroblast growth factor receptor (EC 2.7.10.1)	EGW08_021396	864		positive regulation of cell population proliferation [GO:0008284]; protein phosphorylation [GO:0006468]	GO:0005007; GO:0005524; GO:0006468; GO:0008284; GO:0016020
A0A3S1AW88	A0A3S1AW88_ELYCH	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	EGW08_023290	228	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000256|ARBA:ARBA00004996}.	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleotide biosynthetic process [GO:0009165]; phosphorylation [GO:0016310]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	GO:0000287; GO:0004749; GO:0005524; GO:0006015; GO:0009156; GO:0009165; GO:0016301; GO:0016310
A0A3S1AWU2	A0A3S1AWU2_ELYCH	Presenilin (EC 3.4.23.-)	EGW08_022907	525		Notch signaling pathway [GO:0007219]; protein processing [GO:0016485]	GO:0000139; GO:0004190; GO:0005789; GO:0007219; GO:0016485
A0A3S1AX44	A0A3S1AX44_ELYCH	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)	EGW08_021667	546			GO:0005634; GO:0005759; GO:0052906
A0A3S1AXT9	A0A3S1AXT9_ELYCH	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.n1) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)	EGW08_022183	646		positive regulation of translation [GO:0045727]; translation [GO:0006412]	GO:0003924; GO:0005525; GO:0005743; GO:0005759; GO:0006412; GO:0043022; GO:0045727
A0A3S1AYR9	A0A3S1AYR9_ELYCH	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)	EGW08_020464	402	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922, ECO:0000256|RuleBase:RU367136}.	protein glycosylation [GO:0006486]	GO:0004378; GO:0006486; GO:0016020; GO:0102704
A0A3S1B0R8	A0A3S1B0R8_ELYCH	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)	EGW08_018878	252		'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; phosphorylation [GO:0016310]; pyrimidine nucleotide biosynthetic process [GO:0006221]	GO:0005524; GO:0005634; GO:0005737; GO:0006207; GO:0006221; GO:0016310; GO:0033862; GO:0036430; GO:0036431
A0A3S1B114	A0A3S1B114_ELYCH	Isovaleryl-CoA dehydrogenase, mitochondrial (EC 1.3.8.1) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase)	EGW08_022933	435	PATHWAY: Amino-acid degradation; L-leucine degradation; (S)-3-hydroxy-3-methylglutaryl-CoA from 3-isovaleryl-CoA: step 1/3. {ECO:0000256|ARBA:ARBA00004898}.	leucine catabolic process [GO:0006552]	GO:0004085; GO:0006552; GO:0008470; GO:0050660
A0A3S1B1I5	A0A3S1B1I5_ELYCH	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	EGW08_022603	342	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from adenosine: step 1/1. {ECO:0000256|ARBA:ARBA00004801, ECO:0000256|RuleBase:RU368116}.	AMP salvage [GO:0044209]; phosphorylation [GO:0016310]; purine ribonucleoside salvage [GO:0006166]	GO:0004001; GO:0005524; GO:0005634; GO:0006166; GO:0016310; GO:0044209
A0A3S1B5K7	A0A3S1B5K7_ELYCH	C-1-tetrahydrofolate synthase, cytoplasmic (EC 1.5.1.5) (EC 3.5.4.9) (EC 6.3.4.3)	EGW08_019687	935	PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion. {ECO:0000256|ARBA:ARBA00004777}.	tetrahydrofolate interconversion [GO:0035999]	GO:0004329; GO:0004477; GO:0004488; GO:0005524; GO:0035999
A0A3S1B5Q2	A0A3S1B5Q2_ELYCH	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)	EGW08_015530	478	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922}.	oligosaccharide biosynthetic process [GO:0009312]; protein glycosylation [GO:0006486]	GO:0000139; GO:0005795; GO:0006486; GO:0008455; GO:0009312; GO:0046872
A0A3S1B777	A0A3S1B777_ELYCH	Catalase (EC 1.11.1.6)	EGW08_014618	503		hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872
A0A3S1B7Z2	A0A3S1B7Z2_ELYCH	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	EGW08_018031	360	PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. {ECO:0000256|ARBA:ARBA00004869, ECO:0000256|RuleBase:RU361160}.	glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]	GO:0004365; GO:0006006; GO:0006096; GO:0050661; GO:0051287
A0A3S1B8T8	A0A3S1B8T8_ELYCH	Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)	EGW08_014421	235		ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; phosphorylation [GO:0016310]	GO:0004017; GO:0005524; GO:0005758; GO:0005829; GO:0006172; GO:0016310; GO:0046033; GO:0046034
A0A3S1B978	A0A3S1B978_ELYCH	alpha-1,2-Mannosidase (EC 3.2.1.-)	EGW08_014096	1332		carbohydrate metabolic process [GO:0005975]; endoplasmic reticulum mannose trimming [GO:1904380]; mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]	GO:0004571; GO:0005509; GO:0005975; GO:0016020; GO:0044322; GO:1904380; GO:1904382
A0A3S1B9U8	A0A3S1B9U8_ELYCH	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)	EGW08_013016	282	PATHWAY: Purine metabolism; purine nucleoside salvage. {ECO:0000256|ARBA:ARBA00005058, ECO:0000256|PIRNR:PIRNR000477}.	nucleoside metabolic process [GO:0009116]	GO:0004731; GO:0009116; GO:0047975
A0A3S1BAX6	A0A3S1BAX6_ELYCH	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	EGW08_012422	551		protein phosphorylation [GO:0006468]	GO:0004675; GO:0005524; GO:0006468; GO:0016020; GO:0043235; GO:0046872
