Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs
A0A433T242	unreviewed	A0A433T242_ELYCH	ATP-binding cassette sub-family B member 6 (EC 7.6.2.5) (ABC-type heme transporter ABCB6)	EGW08_016592	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	840	GO:0000139; GO:0005524; GO:0005576; GO:0005741; GO:0005765; GO:0016887; GO:0031901; GO:0032585; GO:0033162; GO:0140359
A0A433T9T5	unreviewed	A0A433T9T5_ELYCH	Flavin-containing monooxygenase (EC 1.-.-.-)	EGW08_013877	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	518	GO:0004499; GO:0005789; GO:0006629; GO:0047822; GO:0050660; GO:0050661; GO:0106294
A0A433TL23	unreviewed	A0A433TL23_ELYCH	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Mitochondrial import inner membrane translocase subunit TIM54) (Multiple substrate lipid kinase)	EGW08_009992	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	431	GO:0005743; GO:0005758; GO:0016301; GO:0046486
A0A433TUL0	unreviewed	A0A433TUL0_ELYCH	CAD protein (EC 2.1.3.2) (EC 3.5.2.3) (EC 6.3.5.5)	EGW08_007006	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	2213	GO:0004070; GO:0004088; GO:0004151; GO:0005524; GO:0006207; GO:0006541; GO:0016597; GO:0044205; GO:0046872
A0A433TWQ7	unreviewed	A0A433TWQ7_ELYCH	Flavin-containing monooxygenase (EC 1.-.-.-)	EGW08_006311	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	544	GO:0004499; GO:0005789; GO:0006629; GO:0047822; GO:0050660; GO:0050661; GO:0106294
Q9MUA3	unreviewed	Q9MUA3_VAULI	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA	Vaucheria litorea (Yellow-green alga)	360	GO:0005506; GO:0009523; GO:0009535; GO:0009635; GO:0009772; GO:0016168; GO:0016682; GO:0045156
A0A0K0KET3	unreviewed	A0A0K0KET3_ELYCH	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COI	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	219	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
A0A191XTW6	unreviewed	A0A191XTW6_ELYCH	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COI	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	211	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
A0A191XUA1	unreviewed	A0A191XUA1_ELYCH	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COI	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	218	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
A0A2U8U4S5	unreviewed	A0A2U8U4S5_ELYCH	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COI	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	211	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
A0A3S0Z6I6	unreviewed	A0A3S0Z6I6_ELYCH	Lysine-specific histone demethylase (EC 1.14.99.66)	EGW08_020470	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	797	GO:0005634; GO:0006355; GO:0034720; GO:0050660; GO:0140682
A0A3S0Z8C2	unreviewed	A0A3S0Z8C2_ELYCH	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)	EGW08_023087	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1137	GO:0003735; GO:0003746; GO:0003924; GO:0005525; GO:0005739; GO:0015934; GO:0019843; GO:0070125
A0A3S0Z8N1	unreviewed	A0A3S0Z8N1_ELYCH	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	EGW08_020355	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	167	GO:0000243; GO:0000387; GO:0000395; GO:0003729; GO:0005685; GO:0008270; GO:0030619; GO:0071004
A0A3S0Z9M1	unreviewed	A0A3S0Z9M1_ELYCH	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase (EC 3.1.4.11)	EGW08_018364	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1304	GO:0004435; GO:0005509; GO:0016042; GO:0035556; GO:0110165
A0A3S0Z9S2	unreviewed	A0A3S0Z9S2_ELYCH	Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)	KATNB1 EGW08_022211	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	627	GO:0000922; GO:0005737; GO:0005813; GO:0005874; GO:0007049; GO:0008017; GO:0008352; GO:0051013; GO:0051301
A0A3S0ZAW4	unreviewed	A0A3S0ZAW4_ELYCH	protein adenylyltransferase (EC 2.7.7.108)	EGW08_018722	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	606	GO:0005524; GO:0016020; GO:0016779
A0A3S0ZBP2	unreviewed	A0A3S0ZBP2_ELYCH	Acireductone dioxygenase (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	EGW08_018241	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	246	GO:0005506; GO:0005634; GO:0005737; GO:0010308; GO:0010309; GO:0016151; GO:0019509
A0A3S0ZED9	unreviewed	A0A3S0ZED9_ELYCH	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)	EGW08_019147	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	177	GO:0005829; GO:0006777; GO:0019008; GO:0030366
A0A3S0ZEL0	unreviewed	A0A3S0ZEL0_ELYCH	Pyruvate carboxylase (EC 6.4.1.1)	EGW08_015099	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1196	GO:0004736; GO:0005524; GO:0005737; GO:0006090; GO:0006094; GO:0046872
A0A3S0ZIC3	unreviewed	A0A3S0ZIC3_ELYCH	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	EGW08_013777	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	395	GO:0004001; GO:0005524; GO:0005634; GO:0006166; GO:0016310; GO:0044209
A0A3S0ZIX7	unreviewed	A0A3S0ZIX7_ELYCH	nitric-oxide synthase (NADPH) (EC 1.14.13.39)	EGW08_013414	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1150	GO:0004517; GO:0005516; GO:0006809; GO:0010181; GO:0016020; GO:0020037; GO:0046872; GO:0050660; GO:0050661
A0A3S0ZNR2	unreviewed	A0A3S0ZNR2_ELYCH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	EGW08_010082	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1825	GO:0004674; GO:0005524; GO:0006468; GO:0007010; GO:0030027; GO:0046872
A0A3S0ZNT7	unreviewed	A0A3S0ZNT7_ELYCH	Uridine kinase (EC 2.7.1.48)	EGW08_012984	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	546	GO:0004849; GO:0005524; GO:0016310; GO:0043771; GO:0044206; GO:0044211
A0A3S0ZPF1	unreviewed	A0A3S0ZPF1_ELYCH	Adenylate kinase isoenzyme 6 homolog (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	EGW08_012573	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	176	GO:0004017; GO:0005524; GO:0005634; GO:0016310; GO:0016887
A0A3S0ZRL3	unreviewed	A0A3S0ZRL3_ELYCH	Metalloendopeptidase (EC 3.4.24.-)	EGW08_008017	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	518	GO:0004222; GO:0006508; GO:0008270
A0A3S0ZRP9	unreviewed	A0A3S0ZRP9_ELYCH	DNA replication licensing factor MCM5 (EC 3.6.4.12)	EGW08_007972	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	732	GO:0003688; GO:0004386; GO:0005524; GO:0005634; GO:0006270; GO:0007049; GO:0016887; GO:0032508; GO:0042555
A0A3S0ZSF0	unreviewed	A0A3S0ZSF0_ELYCH	Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.24) (ATP/GTP-binding protein-like 5) (Protein deglutamylase CCP5)	EGW08_018108	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1375	GO:0004181; GO:0005634; GO:0005819; GO:0006508; GO:0008270; GO:0030496; GO:0035608
A0A3S0ZU34	unreviewed	A0A3S0ZU34_ELYCH	Pre-mRNA-processing factor 19 (EC 2.3.2.27)	EGW08_006364	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	487	GO:0000398; GO:0000974; GO:0005681; GO:0006281; GO:0016020; GO:0016539; GO:0061630; GO:0070534
A0A3S0ZUG4	unreviewed	A0A3S0ZUG4_ELYCH	Alpha-tubulin N-acetyltransferase (Alpha-TAT) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	EGW08_009159	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	599	GO:0005874; GO:0019799; GO:0048666; GO:0070507; GO:0071929
A0A3S0ZVS9	unreviewed	A0A3S0ZVS9_ELYCH	Cytosol aminopeptidase (EC 3.4.11.1) (EC 3.4.11.5) (EC 3.4.13.23) (Cysteinylglycine-S-conjugate dipeptidase) (Leucine aminopeptidase 3) (Leucyl aminopeptidase) (Proline aminopeptidase) (Prolyl aminopeptidase)	EGW08_008034	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	532	GO:0005737; GO:0006508; GO:0030145; GO:0070006
A0A3S0ZY10	unreviewed	A0A3S0ZY10_ELYCH	Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1)	EGW08_002783	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	314	GO:0000413; GO:0001919; GO:0003755; GO:0005765; GO:0007040; GO:0016197; GO:0031902; GO:0032008; GO:0042632; GO:0043410; GO:0045121; GO:0071230; GO:0071986
A0A3S0ZYW9	unreviewed	A0A3S0ZYW9_ELYCH	Probable methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)	EGW08_002659	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	241	GO:0005737; GO:0008270; GO:0019284; GO:0019509; GO:0046570
A0A3S0ZZL0	unreviewed	A0A3S0ZZL0_ELYCH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	EGW08_005270	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	443	GO:0001558; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0030010; GO:0030295; GO:0042593; GO:0046872
A0A3S1A034	unreviewed	A0A3S1A034_ELYCH	Glutathione reductase (EC 1.8.1.7)	EGW08_001215	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	460	GO:0004362; GO:0005737; GO:0006749; GO:0045454; GO:0050660; GO:0050661
A0A3S1A0X3	unreviewed	A0A3S1A0X3_ELYCH	Endonuclease III homolog (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	NTH1 EGW08_012340	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	505	GO:0000703; GO:0003677; GO:0005634; GO:0005739; GO:0006285; GO:0046872; GO:0051539; GO:0140078
A0A3S1A5Y1	unreviewed	A0A3S1A5Y1_ELYCH	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	EGW08_008639	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	400	GO:0005739; GO:0009249; GO:0016992; GO:0046872; GO:0051539
A0A3S1A661	unreviewed	A0A3S1A661_ELYCH	DNA replication licensing factor MCM3 (EC 3.6.4.12)	EGW08_000598	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	788	GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0006270; GO:0016787; GO:0032508; GO:0042555
A0A3S1ADV7	unreviewed	A0A3S1ADV7_ELYCH	Calcium-transporting ATPase (EC 7.2.2.10)	EGW08_002880	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	977	GO:0005388; GO:0005524; GO:0016020; GO:0016887; GO:0140613
A0A3S1AH53	unreviewed	A0A3S1AH53_ELYCH	Glutathione S-transferase omega (GSTO) (EC 1.20.4.2) (EC 1.8.5.1) (EC 2.5.1.18) (Glutathione-dependent dehydroascorbate reductase) (Monomethylarsonic acid reductase)	EGW08_000207	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	246	GO:0004364; GO:0005737; GO:0006749; GO:0045174; GO:0050610
A0A3S1AQB6	unreviewed	A0A3S1AQB6_ELYCH	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)	EGW08_023279	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	597	GO:0005743; GO:0006099; GO:0008177; GO:0022900; GO:0050660; GO:0102040
A0A3S1ASG8	unreviewed	A0A3S1ASG8_ELYCH	Fibroblast growth factor receptor (EC 2.7.10.1)	EGW08_021396	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	864	GO:0005007; GO:0005524; GO:0006468; GO:0008284; GO:0016020
A0A3S1AW88	unreviewed	A0A3S1AW88_ELYCH	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	EGW08_023290	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	228	GO:0000287; GO:0004749; GO:0005524; GO:0006015; GO:0009156; GO:0009165; GO:0016301; GO:0016310
A0A3S1AWU2	unreviewed	A0A3S1AWU2_ELYCH	Presenilin (EC 3.4.23.-)	EGW08_022907	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	525	GO:0000139; GO:0004190; GO:0005789; GO:0007219; GO:0016485
A0A3S1AX44	unreviewed	A0A3S1AX44_ELYCH	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)	EGW08_021667	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	546	GO:0005634; GO:0005759; GO:0052906
A0A3S1AXT9	unreviewed	A0A3S1AXT9_ELYCH	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.n1) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)	EGW08_022183	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	646	GO:0003924; GO:0005525; GO:0005743; GO:0005759; GO:0006412; GO:0043022; GO:0045727
A0A3S1AYR9	unreviewed	A0A3S1AYR9_ELYCH	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)	EGW08_020464	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	402	GO:0004378; GO:0006486; GO:0016020; GO:0102704
A0A3S1B0R8	unreviewed	A0A3S1B0R8_ELYCH	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)	EGW08_018878	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	252	GO:0005524; GO:0005634; GO:0005737; GO:0006207; GO:0006221; GO:0016310; GO:0033862; GO:0036430; GO:0036431
A0A3S1B114	unreviewed	A0A3S1B114_ELYCH	Isovaleryl-CoA dehydrogenase, mitochondrial (EC 1.3.8.1) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase)	EGW08_022933	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	435	GO:0004085; GO:0006552; GO:0008470; GO:0050660
A0A3S1B1I5	unreviewed	A0A3S1B1I5_ELYCH	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	EGW08_022603	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	342	GO:0004001; GO:0005524; GO:0005634; GO:0006166; GO:0016310; GO:0044209
A0A3S1B5K7	unreviewed	A0A3S1B5K7_ELYCH	C-1-tetrahydrofolate synthase, cytoplasmic (EC 1.5.1.5) (EC 3.5.4.9) (EC 6.3.4.3)	EGW08_019687	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	935	GO:0004329; GO:0004477; GO:0004488; GO:0005524; GO:0035999
A0A3S1B5Q2	unreviewed	A0A3S1B5Q2_ELYCH	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)	EGW08_015530	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	478	GO:0000139; GO:0005795; GO:0006486; GO:0008455; GO:0009312; GO:0046872
A0A3S1B777	unreviewed	A0A3S1B777_ELYCH	Catalase (EC 1.11.1.6)	EGW08_014618	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	503	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872
A0A3S1B7Z2	unreviewed	A0A3S1B7Z2_ELYCH	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	EGW08_018031	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	360	GO:0004365; GO:0006006; GO:0006096; GO:0050661; GO:0051287
A0A3S1B8T8	unreviewed	A0A3S1B8T8_ELYCH	Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)	EGW08_014421	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	235	GO:0004017; GO:0005524; GO:0005758; GO:0005829; GO:0006172; GO:0016310; GO:0046033; GO:0046034
A0A3S1B978	unreviewed	A0A3S1B978_ELYCH	alpha-1,2-Mannosidase (EC 3.2.1.-)	EGW08_014096	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1332	GO:0004571; GO:0005509; GO:0005975; GO:0016020; GO:0044322; GO:1904380; GO:1904382
A0A3S1B9U8	unreviewed	A0A3S1B9U8_ELYCH	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)	EGW08_013016	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	282	GO:0004731; GO:0009116; GO:0047975
A0A3S1BAX6	unreviewed	A0A3S1BAX6_ELYCH	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	EGW08_012422	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	551	GO:0004675; GO:0005524; GO:0006468; GO:0016020; GO:0043235; GO:0046872
A0A3S1BBI6	unreviewed	A0A3S1BBI6_ELYCH	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	EGW08_012627	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	145	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208
A0A3S1BCP9	unreviewed	A0A3S1BCP9_ELYCH	Guanylate cyclase (EC 4.6.1.2)	EGW08_011768	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1144	GO:0004197; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0006468; GO:0006508; GO:0016020; GO:0035556; GO:0050790
A0A3S1BE95	unreviewed	A0A3S1BE95_ELYCH	alpha-1,2-Mannosidase (EC 3.2.1.-)	EGW08_010256	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	917	GO:0004571; GO:0005509; GO:0005975; GO:0016020; GO:0044322; GO:1904380; GO:1904382
A0A3S1BIH7	unreviewed	A0A3S1BIH7_ELYCH	MoaB/Mog domain-containing protein	EGW08_003151	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	576	GO:0005524; GO:0006777; GO:0046872; GO:0061598; GO:0061599
A0A3S1BJP0	unreviewed	A0A3S1BJP0_ELYCH	Phosphatidylserine synthase (EC 2.7.8.29) (Serine-exchange enzyme)	EGW08_023410	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	427	GO:0005789; GO:0006659; GO:0106245
A0A3S1BKY4	unreviewed	A0A3S1BKY4_ELYCH	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9)	EGW08_001531	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	703	GO:0001732; GO:0003723; GO:0003743; GO:0005852; GO:0016282; GO:0031369; GO:0033290
A0A3S1BMG4	unreviewed	A0A3S1BMG4_ELYCH	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog)	EGW08_000508	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	374	GO:0002128; GO:0002181; GO:0005737; GO:0106339
A0A3S1BMZ3	unreviewed	A0A3S1BMZ3_ELYCH	NAD-capped RNA hydrolase NUDT12 (EC 3.6.1.22) (NADH pyrophosphatase NUDT12) (Nucleoside diphosphate-linked moiety X motif 12)	EGW08_004738	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	547	GO:0000210; GO:0005777; GO:0035529; GO:0046872
A0A3S1BNL6	unreviewed	A0A3S1BNL6_ELYCH	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)	EGW08_004415	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	564	GO:0004674; GO:0005524; GO:0005737; GO:0016310; GO:0016787; GO:0042254; GO:0046872
A0A3S1BPJ2	unreviewed	A0A3S1BPJ2_ELYCH	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	EGW08_003823	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	344	GO:0004001; GO:0005524; GO:0005634; GO:0006166; GO:0016310; GO:0044209
A0A3S1BQ14	unreviewed	A0A3S1BQ14_ELYCH	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	EGW08_020182	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	686	GO:0003958; GO:0005789; GO:0010181; GO:0050660; GO:0050661
A0A3S1BQG6	unreviewed	A0A3S1BQG6_ELYCH	Androgen-dependent TFPI-regulating protein	EGW08_003240	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	228	GO:0016020
A0A3S1BQJ6	unreviewed	A0A3S1BQJ6_ELYCH	Histone deacetylase (EC 3.5.1.98)	EGW08_003161	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	932	GO:0000118; GO:0000122; GO:0004407; GO:0016575; GO:0046872
A0A3S1BSF1	unreviewed	A0A3S1BSF1_ELYCH	Acireductone dioxygenase (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	EGW08_002002	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	184	GO:0005506; GO:0005634; GO:0005737; GO:0010308; GO:0010309; GO:0016151; GO:0019509
A0A3S1C3H7	unreviewed	A0A3S1C3H7_ELYCH	Guanylate cyclase (EC 4.6.1.2)	EGW08_010294	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1195	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0006468; GO:0016020; GO:0035556
